park_name,category,category
Mammoth Cave National Park,Bird,210
Mammoth Cave National Park,Crab/Lobster/Shrimp,1
Mammoth Cave National Park,Fish,122
Mammoth Cave National Park,Insect,270
Mammoth Cave National Park,Invertebrate,54
Mammoth Cave National Park,Mammal,56
Mammoth Cave National Park,Nonvascular Plant,1
Mammoth Cave National Park,Reptile,42
Mammoth Cave National Park,Spider/Scorpion,2
Mammoth Cave National Park,Vascular Plant,1708
Mesa Verde National Park,Amphibian,8
Mesa Verde National Park,Bird,237
Mesa Verde National Park,Mammal,86
Mesa Verde National Park,Reptile,21
Mesa Verde National Park,Vascular Plant,891
Mount Rainier National Park,Amphibian,16
Mount Rainier National Park,Bird,187
Mount Rainier National Park,Fish,23
Mount Rainier National Park,Fungi,31
Mount Rainier National Park,Insect,47
Mount Rainier National Park,Mammal,69
Mount Rainier National Park,Nonvascular Plant,357
Mount Rainier National Park,Reptile,5
Mount Rainier National Park,Vascular Plant,1008
North Cascades National Park,Amphibian,12
North Cascades National Park,Bird,226
North Cascades National Park,Fish,33
North Cascades National Park,Fungi,539
North Cascades National Park,Insect,559
North Cascades National Park,Mammal,79
North Cascades National Park,Nonvascular Plant,385
North Cascades National Park,Reptile,10
North Cascades National Park,Spider/Scorpion,42
North Cascades National Park,Vascular Plant,1478
Olympic National Park,Amphibian,16
Olympic National Park,Bird,310
Olympic National Park,Fish,97
Olympic National Park,Insect,87
Olympic National Park,Mammal,80
Olympic National Park,Reptile,6
Olympic National Park,Vascular Plant,1352
Petrified Forest National Park,Amphibian,8
Petrified Forest National Park,Bird,244
Petrified Forest National Park,Fungi,1
Petrified Forest National Park,Mammal,62
Petrified Forest National Park,Nonvascular Plant,1
Petrified Forest National Park,Reptile,21
Petrified Forest National Park,Vascular Plant,516
Pinnacles National Park,Amphibian,10
Pinnacles National Park,Bird,170
Pinnacles National Park,Crab/Lobster/Shrimp,8
Pinnacles National Park,Fish,6
Pinnacles National Park,Fungi,27
Pinnacles National Park,Insect,323
Pinnacles National Park,Invertebrate,31
Pinnacles National Park,Mammal,60
Pinnacles National Park,Reptile,29
Pinnacles National Park,Slug/Snail,11
Pinnacles National Park,Spider/Scorpion,10
Pinnacles National Park,Vascular Plant,731
Redwood National Park,Algae,111
Redwood National Park,Amphibian,33
Redwood National Park,Bird,501
Redwood National Park,Crab/Lobster/Shrimp,122
Redwood National Park,Fish,247
Redwood National Park,Fungi,1363
Redwood National Park,Insect,744
Redwood National Park,Invertebrate,334
Redwood National Park,Mammal,154
Redwood National Park,Nonvascular Plant,251
Redwood National Park,Reptile,39
Redwood National Park,Slug/Snail,147
Redwood National Park,Spider/Scorpion,7
Redwood National Park,Vascular Plant,2257
Rocky Mountain National Park,Algae,150
Rocky Mountain National Park,Amphibian,5
Rocky Mountain National Park,Bird,277
Rocky Mountain National Park,Crab/Lobster/Shrimp,39
Rocky Mountain National Park,Fish,12
Rocky Mountain National Park,Fungi,306
Rocky Mountain National Park,Insect,676
Rocky Mountain National Park,Invertebrate,48
Rocky Mountain National Park,Mammal,74
Rocky Mountain National Park,Nonvascular Plant,416
Rocky Mountain National Park,Reptile,3
Rocky Mountain National Park,Slug/Snail,10
Rocky Mountain National Park,Spider/Scorpion,22
Rocky Mountain National Park,Vascular Plant,1114
Saguaro National Park,Amphibian,10
Saguaro National Park,Bird,246
Saguaro National Park,Crab/Lobster/Shrimp,1
Saguaro National Park,Fungi,2
Saguaro National Park,Mammal,102
Saguaro National Park,Reptile,62
Saguaro National Park,Vascular Plant,1411
Sequoia and Kings Canyon National Parks,Amphibian,13
Sequoia and Kings Canyon National Parks,Bird,220
Sequoia and Kings Canyon National Parks,Fish,19
Sequoia and Kings Canyon National Parks,Mammal,89
Sequoia and Kings Canyon National Parks,Reptile,24
Sequoia and Kings Canyon National Parks,Vascular Plant,1630
Shenandoah National Park,Amphibian,40
Shenandoah National Park,Bird,268
Shenandoah National Park,Crab/Lobster/Shrimp,3
Shenandoah National Park,Fish,41
Shenandoah National Park,Fungi,765
Shenandoah National Park,Insect,318
Shenandoah National Park,Invertebrate,2
Shenandoah National Park,Mammal,63
Shenandoah National Park,Nonvascular Plant,350
Shenandoah National Park,Reptile,38
Shenandoah National Park,Slug/Snail,2
Shenandoah National Park,Spider/Scorpion,4
Shenandoah National Park,Vascular Plant,2761
Theodore Roosevelt National Park,Amphibian,8
Theodore Roosevelt National Park,Bird,223
Theodore Roosevelt National Park,Crab/Lobster/Shrimp,1
Theodore Roosevelt National Park,Fish,32
Theodore Roosevelt National Park,Fungi,1
Theodore Roosevelt National Park,Insect,73
Theodore Roosevelt National Park,Invertebrate,3
Theodore Roosevelt National Park,Mammal,66
Theodore Roosevelt National Park,Nonvascular Plant,61
Theodore Roosevelt National Park,Reptile,13
Theodore Roosevelt National Park,Slug/Snail,2
Theodore Roosevelt National Park,Spider/Scorpion,2
Theodore Roosevelt National Park,Vascular Plant,680
Voyageurs National Park,Amphibian,15
Voyageurs National Park,Bird,238
Voyageurs National Park,Fish,58
Voyageurs National Park,Fungi,3
Voyageurs National Park,Insect,33
Voyageurs National Park,Invertebrate,7
Voyageurs National Park,Mammal,63
Voyageurs National Park,Nonvascular Plant,11
Voyageurs National Park,Reptile,6
Voyageurs National Park,Vascular Plant,1019
Wind Cave National Park,Amphibian,7
Wind Cave National Park,Bird,235
Wind Cave National Park,Fish,8
Wind Cave National Park,Fungi,43
Wind Cave National Park,Insect,105
Wind Cave National Park,Mammal,89
Wind Cave National Park,Reptile,12
Wind Cave National Park,Slug/Snail,25
Wind Cave National Park,Vascular Plant,871
Wrangell - St Elias National Park and Preserve,Amphibian,2
Wrangell - St Elias National Park and Preserve,Bird,211
Wrangell - St Elias National Park and Preserve,Fish,93
Wrangell - St Elias National Park and Preserve,Insect,58
Wrangell - St Elias National Park and Preserve,Invertebrate,4
Wrangell - St Elias National Park and Preserve,Mammal,62
Wrangell - St Elias National Park and Preserve,Nonvascular Plant,7
Wrangell - St Elias National Park and Preserve,Reptile,1
Wrangell - St Elias National Park and Preserve,Slug/Snail,1
Wrangell - St Elias National Park and Preserve,Vascular Plant,1357
Yellowstone National Park,Algae,204
Yellowstone National Park,Amphibian,9
Yellowstone National Park,Bird,330
Yellowstone National Park,Crab/Lobster/Shrimp,63
Yellowstone National Park,Fish,19
Yellowstone National Park,Fungi,11
Yellowstone National Park,Insect,1628
Yellowstone National Park,Invertebrate,78
Yellowstone National Park,Mammal,78
Yellowstone National Park,Nonvascular Plant,15
Yellowstone National Park,Reptile,9
Yellowstone National Park,Slug/Snail,59
Yellowstone National Park,Spider/Scorpion,43
Yellowstone National Park,Vascular Plant,1420
Yosemite National Park,Amphibian,15
Yosemite National Park,Bird,270
Yosemite National Park,Fish,10
Yosemite National Park,Mammal,88
Yosemite National Park,Reptile,22
Yosemite National Park,Vascular Plant,1683
Zion National Park,Amphibian,7
Zion National Park,Bird,301
Zion National Park,Fish,15
Zion National Park,Mammal,80
Zion National Park,Reptile,30
Zion National Park,Vascular Plant,1363
